	SiO2	TiO2	Al2O3	FeOt	MnO	MgO	CaO	K2O	Na2O	Group
0	65.4069	0.8270369	17.0849	4.91441	0.077148969	1.796028	1.8135151	5.131949	2.660096	1- CPG & MPG
1	69.64232	0.7087655	14.88713	4.186309	0.053972086	1.629346	1.4368795	5.018386	2.215911	1- CPG & MPG
2	70.61077	0.5705854	15.28393	2.822104	0.053180775	1.3306273	1.204323	5.597277	2.329983	1- CPG & MPG
3	70.61724	0.4775028	15.70859	2.508109	0.040660718	0.9779424	1.3115688	5.28068	2.877528	1- CPG & MPG
4	70.70878	0.5322106	15.28031	2.535746	0.060855686	1.2071555	1.2359237	5.569955	2.642243	1- CPG & MPG
5	70.96736	0.4840032	15.4829	2.469707	0.039552952	1.0065185	1.4769905	5.327158	2.559492	1- CPG & MPG
6	72.39802	0.4696716	14.28857	2.680885	0.042217669	1.0280002	1.087105	5.051344	2.751537	1- CPG & MPG
7	73.16647	0.4284571	14.39149	2.404058	0.060450624	0.7688895	1.0615978	5.041794	2.458325	1- CPG & MPG
8	73.17825	0.3625764	14.35444	2.246656	0.021080025	0.6777228	1.0961613	5.046558	2.857397	1- CPG & MPG
9	74.77016	0.5301808	13.54476	2.728587	0.047150467	1.1798095	1.4312786	3.283768	2.303038	1- CPG & MPG
10	61.08795	1.9111071	15.4072	10.384547	0.173359521	3.5014471	1.4138663	4.343331	1.299677	1- CPG & MPG
11	61.45151	1.7132862	16.18593	9.300091	0.17949736	3.1750611	1.3069987	4.895871	1.403734	1- CPG & MPG
12	66.20815	1.7695713	15.62782	6.846932	0.133066613	2.3833947	2.1558938	2.361932	2.10653	1- CPG & MPG
13	68.50674	0.9450154	14.99537	4.642333	0.075135607	1.9249531	1.7164782	4.321885	2.667843	1- CPG & MPG
14	68.90272	0.8492849	14.83329	5.63205	0.065566025	2.4075025	2.0673787	2.294811	2.749675	1- CPG & MPG
15	71.62353	0.4899112	14.78217	3.236181	0.037114483	1.2937048	1.3700546	4.653096	2.318065	1- CPG & MPG
16	69.69844	0.5247099	15.72873	3.16641	0.045034982	1.2211811	1.5186215	5.189496	2.706288	1- CPG & MPG
17	69.76368	0.4698065	16.38619	2.679525	0.035261417	1.1594784	1.3907518	5.536043	2.390517	1- CPG & MPG
18	71.21874	0.5667648	15.32181	2.837142	0.044373049	1.0931906	1.4320393	4.773128	2.510103	1- CPG & MPG
19	71.60774	0.5224897	15.149	2.642049	0.04905005	1.1174881	1.3595394	4.725866	2.630575	1- CPG & MPG
20	71.72355	0.447909	14.99544	2.512178	0.036973622	0.9021564	1.3373887	5.221732	2.632522	1- CPG & MPG
21	71.94376	0.4661079	15.0288	2.796372	0.021186723	1.0423868	1.5222661	4.289252	2.690714	1- CPG & MPG
22	71.97214	0.5289264	14.59754	2.962112	0.029900323	0.9547482	1.5094508	4.934584	2.364188	1- CPG & MPG
23	72.21388	0.4712809	14.38781	3.171619	0.033590217	1.1532641	1.5247923	4.395229	2.462265	1- CPG & MPG
24	72.63072	0.4146118	14.34936	2.897715	0.025255539	0.894467	1.2280506	4.709106	2.64657	1- CPG & MPG
25	72.68455	0.3693858	15.13261	2.179916	0.040703673	0.9707826	1.5894784	4.577128	2.264142	1- CPG & MPG
26	73.25005	0.463456	14.24501	2.770277	0.031314593	1.1095804	1.117931	4.660655	2.157575	1- CPG & MPG
27	73.54354	0.5326935	13.72588	3.064633	0.03820113	1.2298642	1.414503	3.97504	2.255989	1- CPG & MPG
28	76.69906	0.1406721	12.92808	1.154082	0.003173054	0.3204784	0.3617281	5.853227	2.39354	1- CPG & MPG
29	63.37698	1.2838913	17.10922	5.76404	0.108804344	2.3594999	1.3688623	6.171797	2.137746	1- CPG & MPG
30	67.99483	1.099778	16.1477	4.692605	0.074023519	2.1942686	0.5943031	4.891897	2.048337	1- CPG & MPG
31	68.21043	0.805547	15.45269	4.327839	0.018284799	1.3388536	1.302284	5.137013	3.171397	1- CPG & MPG
32	68.84487	0.5211588	16.35824	3.393888	0.048726233	1.4427202	1.6619882	4.69043	2.845188	1- CPG & MPG
33	68.99394	0.6654471	15.81692	3.273049	0.052338534	1.2069907	1.0179311	6.424822	2.307168	1- CPG & MPG
34	69.45897	0.5668783	15.65669	3.533473	0.05525529	1.4601722	1.583985	4.748885	2.726951	1- CPG & MPG
35	70.51389	0.4932133	15.83693	2.799526	0.039540304	1.2881815	1.3849512	5.029943	2.407796	1- CPG & MPG
36	70.56377	0.5912214	14.99205	3.681473	0.046430999	1.408407	1.4919828	4.502775	2.494892	1- CPG & MPG
37	70.68482	0.470401	15.57771	2.547373	0.055526174	0.9690889	1.2592917	5.61862	2.62335	1- CPG & MPG
38	71.42954	0.5793176	14.28317	3.386442	0.028387612	1.1680977	1.2616716	5.284301	2.354069	1- CPG & MPG
39	71.63042	0.5221924	14.47667	3.28208	0.041492029	1.1961848	1.396561	4.721995	2.535062	1- CPG & MPG
40	72.23855	0.5255037	14.62045	3.281297	0.059314283	1.2487218	1.8543518	3.258123	2.731579	1- CPG & MPG
41	72.53175	0.4106349	14.34849	2.812612	0.034047621	0.9523017	1.2896826	4.854365	2.575238	1- CPG & MPG
42	73.02	0.47	13.47	3.04	0.04	1.17	1.62	4.97	2.07	1- CPG & MPG
43	72.39	0.39	14.07	2.67	0.06	0.98	1.85	5.16	2.31	1- CPG & MPG
44	72.63	0.41	13.85	2.81	0.07	0.95	1.79	4.96	2.4	1- CPG & MPG
45	72.41	0.36	14.15	2.71	0.06	0.9	1.82	5.06	2.4	1- CPG & MPG
46	72.71	0.39	14.09	2.63	0.06	0.84	1.79	5.0	2.34	1- CPG & MPG
47	72.6	0.39	14.13	2.74	0.06	0.97	1.69	4.98	2.3	1- CPG & MPG
48	72.54	0.37	14.12	2.65	0.07	0.91	1.81	5.04	2.35	1- CPG & MPG
49	72.17	0.39	14.23	2.74	0.07	0.95	1.74	5.04	2.5	1- CPG & MPG
50	72.67	0.38	14.06	2.6	0.07	0.93	1.66	5.05	2.42	1- CPG & MPG
51	71.86	0.44	14.42	3.26	0.08	1.38	1.7	4.57	2.18	1- CPG & MPG
52	73.57	0.26	14.01	1.86	0.03	0.41	1.64	5.34	2.7	1- CPG & MPG
53	72.93	0.38	13.9	2.68	0.06	0.95	1.74	4.85	2.36	1- CPG & MPG
54	72.23	0.38	14.07	2.77	0.06	0.93	1.78	5.16	2.5	1- CPG & MPG
