	Tectonic_setting	Location_notes	Pluton	Colour	SubGroup	Group	DebonPQ	TASMiddlemostPlut	Villaseca	QANOR	LaRoche	Geol_unit_notes	Rock_type_notes	Ref	Symbol	Size	Size_rel	Age	Latitude	Longitude	SiO2	TiO2	Al2O3	FeOt	MnO	MgO	CaO	K2O	Na2O	P2O5	H2O	H2Ot	H2O.MINUS	LOI	Li	Be	B	Sc	V	Cr	Ni	Cu	Zn	Rb	Sr	Y	Zr	Nb	Cs	Ba	La	Ce	Pr	Nd	Sm	Eu	Gd	Tb	Dy	Ho	Er	Tm	Yb	Lu	Hf	Ta	Pb	Th	U	Co	Mo	W	Ga	Ge	As	In	Sn	Sb	Cd	Ks	Sum_CIPW	Orthoclase	Albite	Anorthite	Quartz	Apatite	Ilmenite	Biotite	Amphibole	Corundum	Rest	sum_meso	P	K	Ti	Cr2O3	A/NK	A/CNK	K2O/Na2O	Q	C	Or	Ab	An	Lc	Ne	Ns	Di	Wo	Hy	Ol	Il	Tn	Pf	Ru	Ap	Sum
CR03	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	quartz monzonite	h-P	3b granite	granodiorite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				65.4069	0.8270369	17.0849	4.91441	0.077148969	1.796028	1.8135151	5.131949	2.660096	0.2880228														269.0154	97.21508	52.24591	305.22628	25.359022		390.47594	56.40085	112.1662	13.223848	52.34722	11.393739	1.2494124	10.838077	1.626538	9.835326	2.0249699	6.206267	0.8976863	6.0772403		8.747229			26.782157												0	95.10966051	25.62016414	22.53101312	7.10929202	27.2024611	0.679733808	0.785685055	6.932013824	0	4.544585173	-0.319351469	95.08559677	1257.104313	42601.84823	4958.086216		1.720333893	1.291517714	1.929234509	24.548927624489	4.54601284384715	30.3283492055897	22.508990792138	7.11548315238962	0	0	0	0	0	4.47413709819102	0	0.165038781535024	0	0	0.740502479341439	0.682218535524823	95.1096605130458
BB202	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granodiorite	h-P	3b granite	granodiorite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				69.64232	0.7087655	14.88713	4.186309	0.053972086	1.629346	1.4368795	5.018386	2.215911	0.22098														214.2795	98.96108	38.28057	260.1457	19.911767		415.69092	44.29357	90.0286	10.382656	39.39793	7.655565	1.0286014	8.160105	1.1358404	8.071263	1.5161497	3.946216	0.5438978	3.7401915		7.342101			19.492634												0	95.83437044	25.43081186	18.76876617	5.680122064	35.07460177	0.5215128	0.673327225	6.222967281	0	3.726781632	-0.285200721	95.81369009	964.489308	41659.1277	4249.049173		1.640002647	1.273483574	2.264705577	32.6695512541047	3.72617332458114	29.6572243910535	18.7504211484087	5.68492755205353	0	0	0	0	0	4.05891076552768	0	0.115458280594048	0	0	0.648284566261907	0.523419159803583	95.8343704423887
CB02	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	h-P	3b granite	granite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				70.61077	0.5705854	15.28393	2.822104	0.053180775	1.3306273	1.204323	5.597277	2.329983	0.197212														238.5302	90.38265	29.96433	186.04154	15.138216		547.52183	32.36167	63.93163	7.248746	28.7628	6.040634	1.076092	5.3337	0.8584825	5.574644	1.0885895	3.174243	0.4446103	2.7554721		5.434977			14.798949												0	97.19732689	29.62020684	19.73495601	4.682255674	33.59253127	0.46542032	0.54205613	5.098138962	0	3.676313139	-0.233989868	97.17788848	860.7514952	46464.67556	3420.659473		1.545114143	1.265066893	2.402282334	31.6356926888029	3.67462760267803	33.078304452444	19.7156666123471	4.686449199801	0	0	0	0	0	3.31476400523586	0	0.113765490593766	0	0	0.510935204652409	0.467121636995132	97.1973268935501
HB02	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	h-P	3b granite	granite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				70.61724	0.4775028	15.70859	2.508109	0.040660718	0.9779424	1.3115688	5.28068	2.877528	0.2001758														254.2501	116.29881	36.86868	181.92369	15.157796		499.12979	34.12151	70.41246	8.06835	30.55275	6.613892	1.2179917	6.696204	1.0960613	7.270367	1.3167061	3.774652	0.531175	3.354008		5.152241			15.483984												0	97.51122853	28.63038608	24.37266216	5.19479025	31.40372201	0.472414888	0.45362766	3.789477803	0	3.351381526	-0.176573859	97.49188852	873.6872967	43836.50888	2862.629286		1.503237098	1.223927236	1.83514461	29.9733839282175	3.35332416627104	31.2073068307914	24.3488397622188	5.19915547198341	0	0	0	0	0	2.43618048924291	0	0.0869823076321243	0	0	0.431913797802881	0.474141773232917	97.5112285273931
CR01	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	h-P	3a granite	granite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				70.70878	0.5322106	15.28031	2.535746	0.060855686	1.2071555	1.2359237	5.569955	2.642243	0.2268257														233.7445	91.32626	38.96812	172.63487	14.632829		408.24439	32.54389	62.92283	7.49205	29.71011	6.455299	1.0194147	6.264685	1.0442407	6.880438	1.2721107	3.81683	0.4902676	3.0146573		4.650457			14.926382												0	97.48530304	29.75505652	22.37979821	4.645108329	31.99385861	0.535308652	0.50560007	4.664697237	0	3.200602578	-0.215771021	97.46425919	990.0034502	46237.86744	3190.602547		1.47267299	1.210503981	2.108040404	30.221927169184	3.20033524060236	32.9168392553044	22.3579236830517	4.64974963005235	0	0	0	0	0	3.00717984677039	0	0.130183830025234	0	0	0.463898939386597	0.537265441740699	97.4853030361177
LL01	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	h-P	3b granite	granite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				70.96736	0.4840032	15.4829	2.469707	0.039552952	1.0065185	1.4769905	5.327158	2.559492	0.1863152														252.2781	105.23949	28.45654	205.42431	14.455902		659.13821	38.13334	75.50494	8.508543	30.74074	7.419651	1.1426932	6.625065	0.96277	5.693732	1.1126786	2.679916	0.4972442	2.5144435		5.233406			17.626765												0	97.54895362	28.83700807	21.67889724	6.106030003	33.03364493	0.439703872	0.45980304	3.88978546	0	3.265888486	-0.180470744	97.53029035	813.1913219	44222.33671	2901.599184		1.55186641	1.222739744	2.081334108	31.5593475977198	3.2665586512286	31.4819785031673	21.6577077897004	6.11040533033336	0	0	0	0	0	2.5073672352912	0	0.0846125500937452	0	0	0.439664780487779	0.441311184010483	97.5489536220326
MP21	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	m-P	3a granite	granite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				72.39802	0.4696716	14.28857	2.680885	0.042217669	1.0280002	1.087105	5.051344	2.751537	0.2026448														247.1275	79.24161	32.7068	186.63691	15.390806		415.77994	31.52592	62.33198	6.803248	27.88203	5.80222	0.8890019	6.462497	1.0203803	6.386304	1.2608077	3.277106	0.4973881	3.5394606		5.218342			14.54273												0	97.33878939	27.16240709	23.30551839	4.065284765	35.28345347	0.478241728	0.44618802	3.96063203	0	2.801385198	-0.184000428	97.31911027	884.4634941	41932.72195	2815.681242		1.429667394	1.193604603	1.835826304	33.7782817998063	2.80285203836897	29.8519967344882	23.282739042962	4.06941047809523	0	0	0	0	0	2.56088091709472	0	0.0903129716614743	0	0	0.422325491687213	0.479989912908703	97.3387893870729
OK07	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	h-P	3b granite	granite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				73.16647	0.4284571	14.39149	2.404058	0.060450624	0.7688895	1.0615978	5.041794	2.458325	0.2184707														248.2505	70.02165	35.48285	168.89402	12.799391		302.92135	26.81514	54.06905	6.240733	25.10319	5.916659	0.833015	6.174256	0.9906421	6.272876	1.3027391	3.84851	0.5706377	3.4915369		5.508794			12.961712												0	97.61670489	27.7022845	20.82201275	3.835153721	37.89426422	0.515590852	0.407034245	3.082360325	0	3.482862244	-0.14561813	97.59594472	953.5372172	41853.44453	2568.600315		1.514633126	1.258892531	2.050906206	36.7745231846275	3.48274296860101	29.7955589688531	20.8016608382113	3.83946704854803	0	0	0	0	0	1.91540278679372	0	0.129317312432158	0	0	0.360556212713707	0.517475564466018	97.6167048852466
LG05	OROGENIC BELT	////////Langebaan//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	gr	granite	m-P	3a granite	granite	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				73.17825	0.3625764	14.35444	2.246656	0.021080025	0.6777228	1.0961613	5.046558	2.857397	0.1591542														297.2573	74.33078	35.00304	153.72508	19.140883		215.79222	33.69204	67.36999	7.627675	28.50916	6.739511	0.6442281	5.7432	1.069726	6.277905	1.2961415	3.852538	0.4727437	3.4510253		4.801378			23.833241												0	97.77048711	28.02908908	24.20215259	4.39494567	35.32367592	0.375603912	0.34444758	2.630485643	0	2.576790794	-0.12385147	97.75333973	694.6444213	41892.99193	2173.645518		1.412379813	1.180815749	1.766138202	34.3412857068646	2.57915197695773	29.8237128448202	24.1784968521748	4.39848139536885	0	0	0	0	0	1.68829479371697	0	0.0450948559108787	0	0	0.33899177644903	0.376976910323158	97.7704871125862
BB201	OROGENIC BELT	////////Peninsula//////	Cape Peninsula	brown4	Mafic S-types	1- CPG & MPG	unclassified	granite	h-P	unclassified	unclassified	//////////	//////	Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009)	16	1.28	1.6				74.77016	0.5301808	13.54476	2.728587	0.047150467	1.1798095	1.4312786	3.283768	2.303038	0.1812674														176.7628	75.84508	33.19053	204.4354	15.83438		224.085	41.93688	71.53442	7.901794	31.64988	6.897864	0.7656169	6.383042	0.9486139	5.864937	1.2871673	3.461966	0.5302717	3.8131018		5.604947			17.358534												0	97.29037456	16.32544315	19.50673186	5.912347935	46.23875535	0.427791064	0.50367176	4.536515247	0	4.02882761	-0.20867121	97.27141277	791.159694	27259.5433	3178.433896		1.844529725	1.361884418	1.425841866	44.5002016758821	4.03319817192436	19.4061286684924	19.4876655338544	5.91659777886634	0	0	0	0	0	2.9390574382739	0	0.100865322289496	0	0	0.477305144530606	0.429354829431532	97.2903745635451
